[2026-09-14T11:37:20.312Z] [ERROR] [SYSTEM] [DB] Sample error entry | data: {"code":500}
[2026-09-21T05:51:05.794Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L16_Dhir_Cdemo_S8] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_16_hir_demo_8"}
[2026-09-21T05:51:06.179Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L20_DBEdiamond_CBEcolorStone_S11] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_20_BEdiamond_BEcolorStone_11"}
[2026-09-21T05:51:06.470Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L20_DBEdiamond1_CBEcolorStone1_S11] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_20_BEdiamond1_BEcolorStone1_11"}
[2026-09-21T05:51:06.769Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L20_DBEdiamond2_CBEcolorStone2_S11] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_20_BEdiamond2_BEcolorStone2_11"}
[2026-09-21T05:51:07.153Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L21_Dhir_CHIR_S11] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_21_hir_HIR_11"}
[2026-09-21T05:51:07.541Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L22_Dhi2_Chir2_S11] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_22_hi2_hir2_11"}
[2026-09-21T05:51:07.938Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L23_Dhir3_Chir3_S8] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_23_hir3_hir3_8"}
[2026-09-21T05:51:08.214Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L24_Dtesting_Ctesting_S8] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_24_testing_testing_8"}
[2026-09-21T05:54:38.961Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L1_Ddhruv_CRetail_S1] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_1_dhruv_Retail_1"}
[2026-09-21T05:54:39.230Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L2_DkayraHKD_CkayracsHKD_S4] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_2_kayraHKD_kayracsHKD_4"}
